,GIG(0) (B + W),GIG(20) (B + W),IG (Black + White),Grad-CAM,RISE
0,0.09530591567616081,0.4536799933321567,0.11570093571467119,0.6065200058303566,0.6487159713042072
1,0.7733809579888151,0.8488852376635704,0.24219477328006178,0.8632683092915815,0.8957962399348617
2,0.9155895623895857,0.7830676595369975,0.707046263747745,0.9829888694816166,0.9698954522609711
3,0.664122816754712,0.9079964891076088,0.3649894959396786,0.746583900352319,0.6754804601271948
4,0.6574507243931293,0.5658490317563216,0.3032526179941164,0.934322898917728,0.9621801290247175
5,0.1387475101257021,0.30360621893099354,0.04723590486181719,0.3481233392091882,0.42326880157407787
6,0.8648553411165874,0.8338314077506462,0.8142574074988563,0.8463590092025697,0.8626851124171582
7,0.09083772009083381,0.22113599591991967,0.057068010420900664,0.12992673119944004,0.18099446530557342
8,0.9564681079652574,0.9633817606502109,0.9732040683428447,0.9628196239471436,0.9351384533776177
9,0.652684650156233,0.8191451006465488,0.3921818984879388,0.2849275154372056,0.8133158677154118
10,0.18224731285590678,0.212439444868101,0.0882040799039209,0.7727648963970649,0.7206988285243925
11,0.0053828500230641415,0.02275311203298366,0.002790913997321493,0.2081831970045136,0.41059310228253404
12,0.7061507071057955,0.9130927657501565,0.8337075620889663,0.9420395980278651,0.9547167297349208
13,0.962985959980223,0.9654737253983815,0.9512091100215911,0.98650241361724,0.986249194542567
14,0.9939747618304359,0.9923977103498247,0.9574301819006602,0.9709540439976586,0.9681590947839949
15,0.967104724380705,0.9390048682689667,0.8816265083021588,0.9389977289570702,0.945906525850296
16,0.7993229679970277,0.8225219015652935,0.7529553107296427,0.7550689876907402,0.7119664889449875
17,0.7266484326786465,0.5012199776040183,0.5448090963893466,0.5282684710290697,0.5642828848626879
18,0.5824604409488126,0.7016112500646462,0.09534627286613816,0.9122993466806495,0.9384491331927064
19,0.46053015051616564,0.7788125760025448,0.14018840457623202,0.5984770471023189,0.6301687552697128
20,0.44168447986659076,0.6334827298194998,0.32887742426505107,0.7569131678798132,0.3484667042684224
21,0.938233001364602,0.9446210728751289,0.9089628914992015,0.9655389169851939,0.9686377465724945
22,0.17784571915399283,0.46184474437549294,0.10535480757502633,0.2742823431915086,0.3667026030184287
23,0.020796034971459043,0.06947739645838738,0.011914814687851402,0.2671645573495577,0.2739967682450596
24,0.913547430262487,0.9282231839916979,0.9151879445468593,0.8993191265669237,0.916053861951352
25,0.25189908014920853,0.564608293849354,0.056864870021430154,0.6730684683321871,0.5520496572626548
26,0.9206685960292816,0.9372479339440664,0.9004106369283464,0.9236010624302758,0.9042449017365773
27,0.7391128444009357,0.811769324541092,0.6713426338301764,0.8583592845333947,0.9186004155211979
28,0.7522364331616296,0.9460953162776099,0.586332286728753,0.8606556130780114,0.6657694518566132
29,0.8668448878659143,0.9747603502538469,0.892365774181154,0.9422606964906056,0.9523740973737505
30,0.4664286671827237,0.6760440462993251,0.285965667747789,0.9219126101169322,0.9197853587567806
31,0.49170065195196205,0.7864015930849645,0.4253087395362349,0.8242372829764564,0.7936053612579902
32,0.5790207445104089,0.40471959064404167,0.27726129230318797,0.7311439005244109,0.662263758149412
33,0.8806915491819381,0.9314959413475461,0.5037402948571577,0.7960662731758525,0.8668436375136177
34,0.8134102552223743,0.8681477656096427,0.5006176193011924,0.8498467899884822,0.8334034980986164
35,0.8014747566647,0.8581480969985326,0.7856016132566664,0.8886578076415592,0.8794718563556672
36,0.8637233005629645,0.9141362984975179,0.6339006291495429,0.9044123742315504,0.914952716562483
37,0.9335968712965648,0.9558238274521298,0.9490606486797333,0.98225676284896,0.9798482875029246
38,0.7285655145229409,0.5889845582708303,0.20890693578662145,0.9446016478455729,0.9693229152096643
39,0.9542892045444913,0.9321517411205503,0.8897879209783343,0.9651836143599616,0.9639152963956197
40,0.9917983356449339,0.990107093585862,0.9824187659555011,0.990215136938625,0.9886398630009757
41,0.6952569075730732,0.6724199648286837,0.5953504967064267,0.8923067924049165,0.9498648915025923
42,0.8945060721339865,0.9541243643706872,0.9421095902307166,0.9271558296970195,0.9359283954319026
43,0.15129543466286527,0.34084098007943897,0.14998989154895145,0.8858655172089736,0.8375108040869236
44,0.9178339448240068,0.9693049331506093,0.8368190838230981,0.9309548940923479,0.9726635369989607
45,0.2922531798001728,0.49381728356092935,0.01247926720243413,0.029792567740433797,0.030114200928963126
46,0.6321422864993413,0.662513082060549,0.421654662821028,0.7576228631867303,0.8479082855913375
47,0.866579654150539,0.7110285096284416,0.6369681167002353,0.9325362828042773,0.9309341808160146
48,0.05346889349425005,0.12390186466380126,0.02701164176558248,0.8852585636286272,0.905857224860746
49,0.326206793780956,0.4870315416612559,0.29577804324993245,0.8647222493878669,0.9621394253025453
50,0.5111188838051425,0.7035873682134681,0.2603417495679524,0.7544851031154394,0.7935257001055611
51,0.24995940158971483,0.2689231173652742,0.07648901358786842,0.7597445934286549,0.5849379017328222
52,0.8599511007467906,0.8081196834643681,0.8356816497113969,0.9142756005128224,0.9636591348383162
53,0.8460725957527757,0.6912055001697607,0.8211012477055192,0.8230973214945859,0.7260974572143621
