,GIG(0) (B + W),GIG(20) (B + W),IG (Black + White),Grad-CAM,RISE
0,0.017061263866748454,0.015160314216821765,0.048625022451031126,0.006478643590202814,0.07712109338842513
1,0.024811938385048252,0.02001302648862596,0.12538262760535873,0.04073840773069403,0.0621334545547951
2,0.3411531206362674,0.13874232878507528,0.1097543869038216,0.385272510882674,0.15927083370447184
3,0.01628468616642446,0.020423590392036003,0.07993935956862212,0.12109948180505954,0.1688993525471637
4,0.014137408250988099,0.014295909727985013,0.03158129449022656,0.17791033464470982,0.29028361299941835
5,0.010810890232035793,0.011382282195983053,0.08432180945092113,0.20104309272307244,0.09001138780180705
6,0.01841618082245178,0.03564506743876134,0.06850425752216122,0.09206554124175455,0.10226834348965591
7,0.008689849322786358,0.005428397236311058,0.04784544592766906,0.06391082625834517,0.08617731150297914
8,0.03960315969145288,0.020673349163391523,0.15224243181421318,0.26885420128690185,0.30724962217193225
9,0.048455460811641794,0.019848382979398595,0.050012051916160594,0.021129574573650542,0.023300288910751178
10,0.03156107672742413,0.0519449466674511,0.21982851436316397,0.06853432257145566,0.06545364262775466
11,0.0023719697406502545,0.002481227006865083,0.0059305699231723946,0.003302819713846677,0.0040750324321884865
12,0.5504183987241251,0.3162776408856088,0.41263374120592033,0.03802651132460192,0.0487375746233738
13,0.2800242941996354,0.10560848911037383,0.19339679370851728,0.3248480723265352,0.31372867251798703
14,0.4254044127859136,0.071369438692798,0.30664606150352886,0.1452065054107354,0.18896651994596142
15,0.6833904113270971,0.2505975813790428,0.3402152557256462,0.11281076192357836,0.1763851609369643
16,0.12040408843960096,0.027776930118286854,0.3780905797547247,0.08961296345288348,0.08371264176777105
17,0.2653009793143509,0.07436437048546149,0.24167324418119987,0.032750759075699735,0.03016417215953374
18,0.036625954362372995,0.011304380999253126,0.12157256179246663,0.18545789619545555,0.16979961979975794
19,0.016647131839171277,0.009896485996351758,0.19437939623126618,0.03780095021195141,0.04080829247201715
20,0.01239306912587684,0.004279013162886258,0.007325649690756109,0.0660236869134274,0.09595673450878368
21,0.049203355705402727,0.012940597157883834,0.06626944821046991,0.13018766810645402,0.10917005889639565
22,0.017367642672939432,0.011327354717327074,0.05512203140727555,0.08726040335863622,0.11456472999529474
23,0.09757177145996442,0.0062933081361633315,0.05635233564648338,0.03959894326916482,0.02801004733248394
24,0.8527402822659093,0.6555904024051011,0.19391428836388513,0.0894355561418302,0.05227902226918862
25,0.007748047847275706,0.009208590431555624,0.029421045818586813,0.15133214811861156,0.06808925870116506
26,0.1868495914860331,0.043190105740925196,0.26834305249912077,0.39887648799178554,0.29750405541952
27,0.6802961398583042,0.5837751475527411,0.6328383889978189,0.5535794653393774,0.48130070726822144
28,0.05470358546283226,0.037454863041380626,0.021459451640839688,0.33210809579435996,0.18638204858010188
29,0.6853422515017075,0.38014939418369775,0.5986590258986527,0.3180914058894915,0.3810963792839781
30,0.5841275139526665,0.034950995029390065,0.29454947096075756,0.21393824494314484,0.27072015126234167
31,0.048287030822797936,0.021122586271829075,0.05115006652065656,0.13943310457895375,0.12170687109869
32,0.01455313741090423,0.01110901305025133,0.01205733058699631,0.03569460943286281,0.18441064009016878
33,0.7446548286156031,0.159665413107723,0.7034249377081222,0.20981787909517557,0.17668627799774994
34,0.036170728442244934,0.0156293885707833,0.10701638578138954,0.09289052797895339,0.06982738344831887
35,0.24726853071398283,0.06392604116121624,0.1920897112775088,0.2818449387914168,0.1902266915960354
36,0.024153308627169027,0.01385306911308564,0.15470262808956048,0.340488593848123,0.20618437073054438
